x0000,y0000,"Распределение Пуассона (по выборочному среднему)_x","Распределение Пуассона (по выборочному среднему)_y","Распределение Пуассона (по выборочному СКО)_x","Распределение Пуассона (по выборочному СКО)_y","Распределение Гаусса_x","Распределение Гаусса_y"
-0.5,0,0,2.061153622e-09,0,2.13686111e-09,0,3.981027074e-06,
0.5,0,1,4.122307245e-08,1,4.266014104e-08,1,1.057297841e-05,
1.5,0,2,4.122307245e-07,2,4.25831989e-07,2,2.670826026e-05,
2.5,0,3,2.74820483e-06,3,2.833759702e-06,3,6.417116062e-05,
3.5,0,4,1.374102415e-05,4,1.414324356e-05,4,0.0001466493793,
4.5,0,5,5.49640966e-05,5,5.647093883e-05,5,0.000318762045,
5.5,0,6,0.0001832136553,6,0.0001878969581,6,0.0006590206451,
6.5,0,7,0.0005234675867,7,0.0005358801881,7,0.001295917862,
7.5,0,8,0.001308668967,8,0.001337284177,8,0.00242382897,
8.5,0.002004008016,9,0.002908153259,9,0.002966382759,9,0.004311938008,
9.5,0.01402805611,10,0.005816306518,10,0.005922065138,10,0.007296071566,
10.5,0.004008016032,11,0.01057510276,11,0.01074797102,11,0.01174226027,
11.5,0.02404809619,12,0.01762517127,12,0.0178809765,12,0.01797464657,
12.5,0.02605210421,13,0.0271156481,13,0.02745957883,13,0.02617068303,
13.5,0.02004008016,14,0.03873664015,14,0.03915721791,14,0.03624230371,
14.5,0.05410821643,15,0.05164885353,15,0.05211545822,15,0.04773781903,
15.5,0.08416833667,16,0.06456106691,16,0.06502682801,16,0.05980746467,
16.5,0.07615230461,17,0.07595419637,17,0.07636417076,17,0.07126794749,
17.5,0.08817635271,18,0.08439355152,18,0.08469604422,18,0.08077540618,
18.5,0.09418837675,19,0.08883531739,19,0.08899293244,19,0.08707832972,
19.5,0.07815631263,20,0.08883531739,20,0.08883242415,20,0.08928676127,
20.5,0.06813627255,21,0.08460506418,21,0.08444971938,21,0.08707832972,
21.5,0.08617234469,22,0.07691369471,22,0.07663400478,22,0.08077540618,
22.5,0.0621242485,23,0.06688147366,23,0.06651807577,23,0.07126794749,
23.5,0.04809619238,24,0.05573456139,24,0.05533175274,24,0.05980746467,
24.5,0.05410821643,25,0.04458764911,25,0.04418556479,25,0.04773781903,
25.5,0.04008016032,26,0.03429819162,26,0.03392759338,26,0.03624230371,
26.5,0.02004008016,27,0.02540606787,27,0.0250862232,27,0.02617068303,
27.5,0.02004008016,28,0.01814719133,28,0.01788641251,28,0.01797464657,
28.5,0.01603206413,29,0.01251530437,29,0.01231320858,29,0.01174226027,
29.5,0.004008016032,30,0.008343536246,30,0.00819400026,30,0.007296071566,
30.5,0.008016032064,31,0.00538292661,31,0.005276917098,31,0.004311938008,
31.5,0.008016032064,32,0.003364329131,32,0.003292124758,32,0.00242382897,
32.5, , , , , , , ,
